"tag_id","t_run","t_rear_type","pass_type_T_R","rel_huc","rel_site","rel_rkm","rel_age","MPG","MPG.bin","BYage0","SYage1","AYageT","adult_age","OceanAge","length","SYage1_DOY","LGR.flow.7d","LGR.temp.7d","NPGO.ONDJFM.T","NPGO.ONDJFM.T.AVG3"
"384.3B239B5470",1,"W","ROR","17060105","MINAMR","522.271.131.016.001","ParrAboveLGR","Grande Ronde/Imnaha","Grande Ronde/Imnaha","2013","2014","2017",5,"3-Ocean or greater",73,"128",89.7828571428571,10.6042857142857,-0.221,-0.371
"3D9.1BF0FB635D",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1999","2000","2002",4,"2-Ocean",119,"106",89.3662857142857,9.54685714285714,1.814,1.91866666666667
"3D9.1C2C42CF03",2,"W","ROR","17060208","JOHTRP","522.303.215.060.024.007","ParrAboveLGR","South Fork Salmon River","Clearwater and Salmon","2008","2009","2011",4,"2-Ocean",87,"119",112.832428571429,8.755,0.753,0.946
"50440F342F",5,"W","ROR","17060209","SALTRP","522.303.103","SmoltAboveLGR","Lower Salmon River","Clearwater and Salmon","1997","1998","2001",5,"3-Ocean or greater",111,"94",54.735,7.85728571428571,2.347,1.681
"527154415F",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1998","1999","2002",5,"3-Ocean or greater",106,"122",109.830428571429,9.95257142857143,1.814,1.89966666666667
"3D9.1BF0ECDF3E",5,"W","ROR","17060103","SNKTRP","522.225","SmoltAboveLGR","Lower Snake River","Lower Snake","1999","2000","2003",5,"3-Ocean or greater",120,"125",94.6327142857143,10.9898571428571,1.595,1.91866666666667
"3D9.1BF0E96C35",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1999","2000","2003",5,"3-Ocean or greater",118,"122",95.3697142857143,10.4564285714286,1.595,1.91866666666667
"3D9.1BF108E342",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1999","2000","2003",5,"3-Ocean or greater",114,"132",86.5478571428571,10.8011428571429,1.595,1.91866666666667
"3DD.007757D40C",1,"W","ROR","17060106","GRNTRP","522.271.002","SmoltAboveLGR","Grande Ronde/Imnaha","Grande Ronde/Imnaha","2013","2014","2016",4,"2-Ocean",102,"107",79.0852857142857,8.81314285714286,-0.447,-0.371
"3D9.1BF27FAAE6",1,"W","ROR","17060206","BIG2C","522.303.319.029.011","ParrAboveLGR","Middle Fork Salmon River","Clearwater and Salmon","2008","2009","2011",4,"2-Ocean",85,"122",89.0674285714286,8.63842857142857,0.753,0.946
"3D9.1BF27E02D7",2,"W","ROR","17060102","IMNTRP","522.308.007","SmoltAboveLGR","Grande Ronde/Imnaha","Grande Ronde/Imnaha","2008","2009","2011",4,"2-Ocean",104,"115",114.335142857143,8.87171428571428,0.753,0.946
"3D9.1C2C45DC79",1,"W","ROR","17060201","VALEYC","522.303.609.012","ParrAboveLGR","Upper Salmon River","Clearwater and Salmon","2008","2009","2011",4,"2-Ocean",59,"120",104.486,8.66142857142857,0.753,0.946
